Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_KDS_MODUL,Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_NAME,Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_DESCRIPTION,Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_EXAMPLE,Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_FHIR_ELEMENT,Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_PATH_IN_SOURCE_SYSTEM_VNA,Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_IS_AVAILABLE_IN_VNA,Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_IS_AVAILABLE_IN_DIZ,Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_AVAILABLE_SINCE,Reference,URL
Diagnose,Diagnosestellender Arzt,Referenz auf diagnosestellenden Arzt,fffffffffffffff0,emptyvalue,emptyvalue,1,1,ab 15.04.2021,Main.Metadatenrepository.KDS-Module.Diagnose_Arzt.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnose_Arzt/
Diagnose,Diagnosepriorität,Hauptdiagnose (1) und Nebendiagnose (2),1 | 2,emptyvalue,emptyvalue,1,1,ab 2002,Main.Metadatenrepository.KDS-Module.Diagnosepriorität.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnosepriorit%C3%A4t/
Diagnose,Diagnosetyp,"Diagnosetypen für die Datenübermittlung nach §301 SGB V (z.B. Aufnahmediagnose, Behandlungsdiagnose, ...)",AD | BD | EL | ...,emptyvalue,emptyvalue,1,1,"vor dem 15.04.2024 nur Entlassdiagnose, anschließend alle",Main.Metadatenrepository.KDS-Module.Diagnosetyp.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnosetyp/
Diagnose,Diagnosedatum,Zeitpunkt der Diagnosestellung,2023-05-12T11:31:01:00Z,emptyvalue,emptyvalue,1,1,ab 2002,Main.Metadatenrepository.KDS-Module.Diagnosedatum.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnosedatum/
Diagnose,Fallnummer,ORBIS Fallnummer oder pseudonymisierte bzw. anonymisierte Fallnummer,12345678,emptyvalue,emptyvalue,1,1,ab 2002,Main.Metadatenrepository.KDS-Module.Diagnose_Fallnummer.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnose_Fallnummer/
Diagnose,PID,ORBIS Patientenidentifikationsnummer (PID) oder pseudonymisierte bzw. anonymisierte PID,599999,emptyvalue,emptyvalue,1,1,ab 2002,Main.Metadatenrepository.KDS-Module.Diagnose_Patientenidentifikationsnummer.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnose_Patientenidentifikationsnummer/
Diagnose,Diagnosecode Beschreibung,Langtext-Beschreibung des Diagnosecodes,Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege FEV >= 35 % und &#60; 50 % des Sollwertes,emptyvalue,emptyvalue,1,1,ab 15.04.2021,Main.Metadatenrepository.KDS-Module.Diagnose_Code_Beschreibung.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnose_Code_Beschreibung/
Diagnose,Diagnosesicherheit,Zusatzkennzeichen nur für ambulante Fälle,V- Verdachtsdiagnose | Z- Zustand nach der betreffenden Diagnose | A- Ausgeschlossene Diagnose | G- gesicherte Diagnose,emptyvalue,emptyvalue,1,1,15.04.2021,Main.Metadatenrepository.KDS-Module.Diagnosesicherheit.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnosesicherheit/
Diagnose,Seitenlokalisation,Seitenlokalisation in der ICD-10-GM-Codierung (optional),R | L | B,emptyvalue,emptyvalue,1,1,ab 2002,Main.Metadatenrepository.KDS-Module.Seitenlokalisation.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Seitenlokalisation/
Diagnose,Mehrfachcodierungskennzeichen,Kennzeichen für Kreuz-Stern oder Ausrufezeichendiagnose (nicht immer verfügbar),* | ! | †,emptyvalue,emptyvalue,1,1,ab 2002,Main.Metadatenrepository.KDS-Module.Mehrfachcodierungs_Kennzeichen.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Mehrfachcodierungs_Kennzeichen/
Diagnose,Code-Version,Gültigkeit Jahr des Codes,2021,emptyvalue,emptyvalue,1,1,ab 2002,Main.Metadatenrepository.KDS-Module.Code_Version.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Code_Version/
Diagnose,Diagnosecode,Diagnosecode als ICD-10-GM,J44.01,emptyvalue,emptyvalue,1,1,ab 2002,Main.Metadatenrepository.KDS-Module.Diagnose_Code.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnose_Code/
Diagnose,Diagnosereferenz Primärdiagnose,Nur bei Sekundärcodes vorhanden. Stern- oder Ausrufezeichen Diagnosen verweisen hier auf die Primärdiagnose,ffffffffffff0,emptyvalue,emptyvalue,1,1,ab 2002	,Main.Metadatenrepository.KDS-Module.Diagnose_Referenz_Primaerdiagnose.WebHome,/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Diagnose_Referenz_Primaerdiagnose/
